source;url;observed_date;operation;location_label;property_type;area_m2;bedrooms;suites;parking_spaces;asking_price_brl;rent_brl_month;condo_brl_month;iptu_brl_month;furnished;listing_ref;quality_flag;asking_price_m2;rent_m2;gross_yield_annual_pct
Century21;https://www.century21brasil.com/imoveis/a-venda/apartamento/sao-paulo/jardim-das-perdizes;2026-08-27;venda;Jardim das Perdizes;apartamento;111;2;2.000000;2;2050000.000000;;;;nao;AP75084-RMMB;amostra_portal;18468.468468;;
Century21;https://www.century21brasil.com/imoveis/a-venda/apartamento/sao-paulo/jardim-das-perdizes;2026-08-27;venda;Jardim das Perdizes;apartamento;79;2;1.000000;1;1100000.000000;;;;nao;AP69473-RMMB;amostra_portal;13924.050633;;
Century21;https://www.century21brasil.com/imoveis/a-venda/apartamento/sao-paulo/jardim-das-perdizes;2026-08-27;venda;Jardim das Perdizes;apartamento;79;2;1.000000;1;1520000.000000;;;;nao;AP0051-C-KS;amostra_portal;19240.506329;;
Century21;https://www.century21brasil.com/imoveis/a-venda/apartamento/sao-paulo/jardim-das-perdizes;2026-08-27;venda;Jardim das Perdizes;apartamento;188;3;3.000000;2;3500000.000000;;;;nao;AP74415-RMMB;amostra_portal;18617.021277;;
Century21;https://www.century21brasil.com/imoveis/a-venda/apartamento/sao-paulo/jardim-das-perdizes;2026-08-27;venda;Jardim das Perdizes;apartamento;157;3;3.000000;2;2600000.000000;;;;nao;AP73871-RMMB;amostra_portal;16560.509554;;
Century21;https://www.century21brasil.com/imoveis/a-venda/apartamento/sao-paulo/jardim-das-perdizes;2026-08-27;venda;Jardim das Perdizes;apartamento;80;2;1.000000;2;1780800.000000;;;;nao;AP32118-RMMB;amostra_portal;22260.000000;;
FrancaPrime;https://francaprime.com.br/imoveis/venda/sp/sao-paulo/jardim-das-perdizes/6;2026-08-27;venda;Jardim das Perdizes;apartamento;79;2;1.000000;1;1310000.000000;;;;nao;PC328;pagina_6;16582.278481;;
FrancaPrime;https://francaprime.com.br/imoveis/venda/sp/sao-paulo/jardim-das-perdizes/6;2026-08-27;venda;Jardim das Perdizes;apartamento;83;2;2.000000;2;1300000.000000;;;;nao;PC240;pagina_6;15662.650602;;
FrancaPrime;https://francaprime.com.br/imoveis/venda/sp/sao-paulo/jardim-das-perdizes/6;2026-08-27;venda;Jardim das Perdizes;apartamento;58;2;1.000000;2;1190000.000000;;;;nao;FM188068;pagina_6;20517.241379;;
FrancaPrime;https://francaprime.com.br/imoveis/venda/sp/sao-paulo/jardim-das-perdizes/6;2026-08-27;venda;Jardim das Perdizes;apartamento;79;2;1.000000;2;1130000.000000;;;;nao;FP2893;pagina_6;14303.797468;;
FrancaPrime;https://francaprime.com.br/imoveis/venda/sp/sao-paulo/jardim-das-perdizes/6;2026-08-27;venda;Jardim das Perdizes;apartamento;60;2;1.000000;1;1070000.000000;;;;nao;PC432;pagina_6;17833.333333;;
FMIPrime;https://www.fmiprime.com.br/imoveis/venda/sp/sao-paulo/jardim-das-perdizes;2026-08-27;venda;Jardim das Perdizes;apartamento;241;4;3.000000;3;4800000.000000;;;1400.000000;nao;FM201740;alto_padrao;19917.012448;;
FMIPrime;https://www.fmiprime.com.br/imoveis/venda/sp/sao-paulo/jardim-das-perdizes;2026-08-27;venda;Jardim das Perdizes;apartamento;241;4;3.000000;3;4400000.000000;;;1200.000000;nao;FM198314;alto_padrao;18257.261411;;
FMIPrime;https://www.fmiprime.com.br/imoveis/venda/sp/sao-paulo/jardim-das-perdizes;2026-08-27;venda;Jardim das Perdizes;apartamento;242;4;3.000000;3;4200000.000000;;;1188.000000;nao;FM198755;alto_padrao;17355.371901;;
FMIPrime;https://www.fmiprime.com.br/imoveis/venda/sp/sao-paulo/jardim-das-perdizes;2026-08-27;venda;Jardim das Perdizes;apartamento;197;3;3.000000;3;4000000.000000;;;850.000000;nao;FM198197;alto_padrao;20304.568528;;
FMIPrime;https://www.fmiprime.com.br/imoveis/venda/sp/sao-paulo/jardim-das-perdizes;2026-08-27;venda;Jardim das Perdizes;apartamento;202;3;3.000000;3;3800000.000000;;;700.000000;nao;FM195406;alto_padrao;18811.881188;;
FMIPrime;https://www.fmiprime.com.br/imoveis/venda/sp/sao-paulo/jardim-das-perdizes;2026-08-27;venda;Jardim das Perdizes;apartamento;185;4;3.000000;2;3500000.000000;;;824.000000;nao;FM201388;alto_padrao;18918.918919;;
VivaReal;https://www.vivareal.com.br/venda/sp/sao-paulo/zona-oeste/jardim-das-perdizes/apartamento_residencial/;2026-08-27;venda;Agua Branca;apartamento;160;3;;2;3250000.000000;;;725.000000;nao;;entorno_taxonomia;20312.500000;;
VivaReal;https://www.vivareal.com.br/venda/sp/sao-paulo/zona-oeste/jardim-das-perdizes/apartamento_residencial/;2026-08-27;venda;Agua Branca;apartamento;81;2;;1;1290000.000000;;;199.000000;nao;;entorno_taxonomia;15925.925926;;
VivaReal;https://www.vivareal.com.br/venda/sp/sao-paulo/zona-oeste/jardim-das-perdizes/apartamento_residencial/;2026-08-27;venda;Agua Branca;apartamento;79;2;;1;1375800.000000;;;10.000000;nao;;entorno_taxonomia;17415.189873;;
VivaReal;https://www.vivareal.com.br/venda/sp/sao-paulo/zona-oeste/jardim-das-perdizes/apartamento_residencial/;2026-08-27;venda;Parque Industrial Tomas Edson;apartamento;63;2;;0;1100000.000000;;;163.000000;nao;;entorno_taxonomia;17460.317460;;
VivaReal;https://www.vivareal.com.br/aluguel/sp/sao-paulo/zona-oeste/jardim-das-perdizes/apartamento_residencial/;2026-08-27;aluguel;Agua Branca;apartamento;63;2;;1;;5500.000000;1300.000000;300.000000;nao;;entorno_taxonomia;;87.301587;
VivaReal;https://www.vivareal.com.br/aluguel/sp/sao-paulo/zona-oeste/jardim-das-perdizes/apartamento_residencial/;2026-08-27;aluguel;Agua Branca;apartamento;60;2;;1;;4700.000000;1050.000000;255.000000;nao;;entorno_taxonomia;;78.333333;
VivaReal;https://www.vivareal.com.br/aluguel/sp/sao-paulo/zona-oeste/jardim-das-perdizes/apartamento_residencial/;2026-08-27;aluguel;Agua Branca;apartamento;83;2;;1;;7000.000000;1300.000000;370.000000;nao;;entorno_taxonomia;;84.337349;
QuintoAndar;https://www.quintoandar.com.br/alugar/imovel/jardim-das-perdizes-sao-paulo-sp-brasil;2026-08-27;aluguel;Jardim das Perdizes;apartamento;168;3;;2;;26000.000000;;;sim;;amostra_portal;;154.761905;
QuintoAndar;https://www.quintoandar.com.br/alugar/imovel/jardim-das-perdizes-sao-paulo-sp-brasil;2026-08-27;aluguel;Jardim das Perdizes;apartamento;60;2;;1;;5200.000000;;;sim;;amostra_portal;;86.666667;
QuintoAndar;https://www.quintoandar.com.br/alugar/imovel/jardim-das-perdizes-sao-paulo-sp-brasil;2026-08-27;aluguel;Jardim das Perdizes;apartamento;60;2;;1;;7500.000000;;;sim;;amostra_portal;;125.000000;
QuintoAndar;https://www.quintoandar.com.br/alugar/imovel/jardim-das-perdizes-sao-paulo-sp-brasil;2026-08-27;aluguel;Agua Branca;apartamento;70;2;;1;;4703.000000;;;sim;;amostra_portal_anomalia;;67.185714;
QuintoAndar;https://www.quintoandar.com.br/alugar/imovel/jardim-das-perdizes-sao-paulo-sp-brasil;2026-08-27;aluguel;Agua Branca;apartamento;79;2;;1;;6520.000000;;;nao;;amostra_portal;;82.531646;
QuintoAndar;https://www.quintoandar.com.br/alugar/imovel/jardim-das-perdizes-sao-paulo-sp-brasil;2026-08-27;aluguel;Agua Branca;apartamento;62;2;;1;;5440.000000;;;nao;;amostra_portal;;87.741935;
