family;launch_year;launch_units;launch_vgv_m;launch_avg_unit_brl;current_n;current_area_median;current_price_median_brl;current_m2_median;reference_2015_area_m2;reference_2015_price_brl;reference_2015_m2;nominal_change_2015_to_current_pct;real_change_2015_to_current_pct;nominal_cagr_pct;real_cagr_pct;current_sources;comparability_note
Bosque Araucária;2013;212.000000;303.796000;1433000.000000;1;157.000000;2550000.000000;16242.038217;158.000000;2107450.000000;13338.291139;21.770008;-30.508029;1.839822;-3.312698;Imoveis JN;"Price asked/current observation; not transaction; exact-unit match unavailable."
Bosque Cerejeiras;2024;100.000000;445.000000;4450000.000000;1;222.000000;3430000.000000;15450.450450;;;;;;;;Imoveis JN;"Price asked/current observation; not transaction; exact-unit match unavailable."
Bosque Jequitibá;2013;320.000000;526.817000;1646303.125000;4;159.000000;3090000.000000;18773.584906;158.000000;2119870.000000;13416.898734;39.924921;-20.147345;3.158276;-2.060950;Imovelweb;"Price asked/current observation; not transaction; exact-unit match unavailable."
Bosque Pitangueiras;2022;150.000000;218.000000;1453333.333333;8;117.000000;2009500.000000;18198.529412;;;;;;;;"Imovelweb; Imovelweb/Imoveis JN";"Price asked/current observation; not transaction; exact-unit match unavailable."
Recanto Jacarandá;2013;396.000000;344.956000;871101.010101;8;108.000000;1917500.000000;18611.697140;108.000000;1572790.000000;14562.870370;27.802395;-27.065454;2.296616;-2.879015;Imovelweb;"Price asked/current observation; not transaction; exact-unit match unavailable."
Recanto Oliveiras;2024;424.000000;583.000000;1375000.000000;1;109.000000;1692000.000000;15522.935780;;;;;;;;Imoveis JN;"Price asked/current observation; not transaction; exact-unit match unavailable."
Reserva Figueiras;2022;104.000000;288.000000;2769230.769231;2;176.500000;3445000.000000;19510.799484;;;;;;;;"Imoveis JN; Imovelweb";"Price asked/current observation; not transaction; exact-unit match unavailable."
Reserva Flamboyant;2024;216.000000;593.000000;2745370.370370;1;157.000000;2555000.000000;16273.885350;;;;;;;;Imoveis JN;"Price asked/current observation; not transaction; exact-unit match unavailable."
Reserva Manacá;2013;320.000000;693.877000;2168365.625000;3;283.000000;6000000.000000;21201.413428;283.000000;3113080.000000;11000.282686;92.735169;9.990522;6.261524;0.885291;Imovelweb;"Price asked/current observation; not transaction; exact-unit match unavailable."
Time (Residencial);2014;276.000000;192.943075;699069.112319;1;63.000000;1100000.000000;17460.317460;60.000000;752760.000000;12546.000000;39.170393;-20.577940;3.106661;-2.109954;Unyk Home;"Price asked/current observation; not transaction; exact-unit match unavailable."
