produto;preco_atual_medio_mediano;n_obs;Bear nominal 2%;"Bear nominal 2%;real_4%_inflacao";Base nominal 5%;"Base nominal 5%;real_4%_inflacao";Bull nominal 8%;"Bull nominal 8%;real_4%_inflacao"
Bosque Araucária;2550000.00;1;2815406.05;2314057.55;3254517.98;2674975.55;3746786.60;3079584.47
Bosque Cerejeiras;3430000.00;1;3786997.15;3112634.61;4377645.76;3598104.71;5039795.30;4142343.37
Bosque Jequitibá;3090000.00;4;3411609.68;2804093.48;3943710.03;3241441.17;4540223.76;3731731.98
Bosque Pitangueiras;2009500.00;8;2218650.37;1823567.88;2564687.80;2107985.42;2952614.77;2426833.12
Recanto Jacarandá;1917500.00;8;2117074.94;1740080.28;2447269.90;2011476.47;2817436.59;2315726.50
Recanto Oliveiras;1692000.00;1;1868104.72;1535444.91;2159468.40;1774924.62;2486103.11;2043394.53
Reserva Figueiras;3445000.00;2;3803558.37;3126246.72;4396789.98;3613839.87;5061835.22;4160458.58
Reserva Flamboyant;2555000.00;1;2820926.45;2318594.92;3260899.39;2680220.60;3754133.24;3085622.87
Reserva Manacá;6000000.00;3;6624484.82;5444842.64;7657689.38;6294061.47;8815968.46;7246082.45
Time (Residencial);1100000.00;1;1214488.88;998220.33;1403909.72;1153910.45;1616260.88;1328447.63
