date,sale_index_total,sale_price_total,rent_index_total,rent_price_total,rent_yield_monthly
2008-01-01,61.5894927832,2610.3089278431,71.0204829406,18.6280794945,0.0071345542
2008-02-01,62.0808068683,2631.1319852290,72.8094130361,19.0973009170,0.0072527213
2008-03-01,62.9251628104,2666.9177946965,75.3342630065,19.7595479761,0.0073991062
2008-04-01,64.0255114316,2713.5531816759,78.4675808340,20.5813910720,0.0075690853
2008-05-01,65.0885434462,2758.6070022676,81.0075794827,21.2476115028,0.0076848419
2008-06-01,66.2407724486,2807.4412029712,82.0004625139,21.5080364291,0.0076505585
2008-07-01,67.3621404465,2854.9674410375,83.6463240312,21.9397321584,0.0076722232
2008-08-01,68.3336768641,2896.1434610033,84.1608831286,22.0746967120,0.0076266191
2008-09-01,69.0457533670,2926.3229537838,85.5476417191,22.4384319077,0.0076972850
2008-10-01,69.6902445533,2953.6380203916,85.4477466908,22.4122302761,0.0076484040
2008-11-01,70.6546060291,2994.5099492874,84.9711657794,22.2872270836,0.0075234866
2008-12-01,72.0153081056,3052.1797338249,84.5323001963,22.1721163066,0.0073396377
2009-01-01,73.0925885512,3097.8374367493,84.7190468951,22.2210984060,0.0072449391
2009-02-01,74.1009153617,3140.5727209149,86.0927279342,22.5814034692,0.0072475528
2009-03-01,74.9433290803,3176.2762143404,87.3436714174,22.9095154967,0.0072597665
2009-04-01,76.3061610591,3234.0362691931,88.2059553184,23.1356853619,0.0071895196
2009-05-01,77.7113679540,3293.5922735925,88.5700245174,23.2311776720,0.0070872426
2009-06-01,79.3813598137,3364.3704934441,89.4443590031,23.4605083049,0.0070078096
2009-07-01,80.9368496860,3430.2958472244,89.3193619482,23.4277226214,0.0068560996
2009-08-01,82.4564465371,3494.6999695478,89.1959683252,23.3953575047,0.0067108116
2009-09-01,83.5765004092,3542.1705118427,88.7984637396,23.2910953720,0.0065913912
2009-10-01,84.6434336618,3587.3896761656,89.1121949943,23.3733844597,0.0065338516
2009-11-01,85.9664067984,3643.4604186502,89.1359317386,23.3796104095,0.0064332551
2009-12-01,87.5544510926,3710.7655061219,89.3137600056,23.4262532787,0.0063184303
2010-01-01,89.0332520651,3773.4406022525,89.2859579529,23.4189610325,0.0061738785
2010-02-01,90.4194009281,3832.1888820141,90.3617444768,23.7011308524,0.0061448961
2010-03-01,91.8808216382,3894.1273613652,92.5100523003,24.2646140514,0.0061887964
2010-04-01,93.4031435612,3958.6469787074,95.5818735694,25.0703271136,0.0062874956
2010-05-01,94.6790387381,4012.7224454923,97.5862147993,25.5960490775,0.0063328175
2010-06-01,96.1885355593,4076.6985045712,98.6066181754,25.8636923604,0.0062954478
2010-07-01,98.1249801910,4158.7696255056,99.2935636894,26.0438724311,0.0062099559
2010-08-01,100.0000000000,4238.2374166175,100.0000000000,26.2291647751,0.0061373140
2010-09-01,101.9309169954,4320.0742632013,100.4944912229,26.3588656927,0.0060539767
2010-10-01,103.9475917861,4405.5457287493,100.2520085070,26.2952645016,0.0059217631
2010-11-01,106.3265143503,4506.3701149777,100.9891227168,26.4886034023,0.0058323973
2010-12-01,108.5626088922,4601.1411105237,102.3179103668,26.8371333045,0.0057883416
2011-01-01,110.3748466722,4677.9480501940,104.3643374892,27.3738940465,0.0058138822
2011-02-01,112.5527658562,4770.2534359563,106.2576652034,27.8704980923,0.0058017835
2011-03-01,114.8466811868,4867.4750138014,108.3696969185,28.4244663710,0.0057973805
2011-04-01,117.6289932330,4985.3960039906,110.3936832575,28.9553410829,0.0057690382
2011-05-01,120.7092017478,5115.9425537765,111.9251513633,29.3570323758,0.0056929120
2011-06-01,123.8080751433,5247.2801655192,113.3480287322,29.7302412255,0.0056110382
2011-07-01,126.5777219033,5364.6643708067,114.0907197894,29.9250428866,0.0055146328
2011-08-01,128.7522827887,5456.8274239003,115.1582686570,30.2050520382,0.0054674974
2011-09-01,131.2794686605,5563.9355611074,115.4390614381,30.2787016394,0.0053714390
2011-10-01,133.7180340706,5667.2877527435,115.9088458941,30.4019221784,0.0052898784
2011-11-01,135.9598561087,5762.3014931801,116.2460945251,30.4903796776,0.0052134362
2011-12-01,137.8307071338,5841.5926013334,117.1589170418,30.7298053996,0.0051839219
2012-01-01,139.5103214140,5912.7786422103,118.2111831219,31.0058060036,0.0051058333
2012-02-01,141.3409753369,5990.3661017390,119.6286966588,31.3776079649,0.0050994159
2012-03-01,143.1669869745,6067.7568101971,121.0889197520,31.7606122861,0.0050979024
2012-04-01,144.8974118712,6141.0963256354,122.4514238373,32.1179857277,0.0050971151
2012-05-01,146.6270787812,6214.4037157979,123.6333314615,32.4279902259,0.0050894837
2012-06-01,148.3819208951,6288.7780908740,124.3884004132,32.6260385055,0.0050587837
2012-07-01,150.3346073936,6371.5375806787,125.3242118906,32.8714940398,0.0050301950
2012-08-01,152.4314733442,6460.4077379756,126.3761996749,33.1474216492,0.0049990316
2012-09-01,154.7846320727,6560.1401916803,127.7510829365,33.5080420453,0.0049750287
2012-10-01,156.4960448828,6632.6739297504,128.1658935769,33.6168434117,0.0049365308
2012-11-01,158.3108161180,6709.5882432676,128.7161501499,33.7611711149,0.0048970272
2012-12-01,159.5820516646,6763.4662238557,128.8913939246,33.8071360934,0.0048610497
2013-01-01,161.0127760482,6824.1037200103,130.3378246030,34.1865227794,0.0048339643
2013-02-01,162.3265938001,6879.7864355578,131.1759194745,34.4063480642,0.0048244388
2013-03-01,163.7581062107,6940.4573301663,131.9693498030,34.6144582124,0.0048065031
2013-04-01,165.5721984090,7017.3428644873,132.5790491548,34.7743772600,0.0047743112
2013-05-01,167.2874573083,7090.0396089478,133.0696480905,34.9030572633,0.0047386160
2013-06-01,169.0770388688,7165.8863242448,133.5028127627,35.0166727389,0.0046999472
2013-07-01,171.2237626160,7256.8695733324,134.1718409632,35.1921532480,0.0046630485
2013-08-01,173.3175390564,7345.6087898495,134.7263982117,35.3376089825,0.0046300055
2013-09-01,175.3702654241,7432.6082068258,135.3970595065,35.5135178385,0.0046043970
2013-10-01,177.5055760613,7523.1077412106,136.1238984086,35.7041616118,0.0045894269
2013-11-01,179.8194474374,7621.1751036464,137.2442837329,35.9980293247,0.0045669734
2013-12-01,181.7831142074,7704.3999634312,138.5804127768,36.3484848132,0.0045550024
2014-01-01,183.1415737023,7761.9747020326,139.1337319181,36.4936158025,0.0045536254
2014-02-01,184.2712032935,7809.8510860344,139.3530620427,36.5511442623,0.0045329492
2014-03-01,185.5706257854,7864.9236962865,139.4511829127,36.5768805469,0.0045041166
2014-04-01,186.9676322775,7924.1321481483,139.7496741674,36.6551723100,0.0044698338
2014-05-01,188.3033718801,7980.7439637742,140.0237400407,36.7270574995,0.0044442802
2014-06-01,189.7985456222,8044.1129767578,140.2459565820,36.7853430423,0.0044164252
2014-07-01,191.2378384864,8105.1136254600,140.5180794644,36.8567186015,0.0043954126
2014-08-01,192.5884543103,8162.3559306635,140.7348203596,36.9135679280,0.0043739826
2014-09-01,193.3629302913,8195.1800614720,140.3271667351,36.8066437871,0.0043478124
2014-10-01,193.9442632388,8219.8183319721,140.2228199748,36.7792745034,0.0043339047
2014-11-01,194.4454006173,8241.0577238533,140.1905307516,36.7708053099,0.0043232016
2014-12-01,195.1131482707,8269.3584547508,140.8875518730,36.9536281283,0.0043315943
2015-01-01,196.0011063664,8306.9922270065,141.3665149534,37.0792561439,0.0043259428
2015-02-01,197.0880028127,8353.0574788724,142.2583893569,37.3131873508,0.0043297325
2015-03-01,198.1253850029,8397.0241990115,142.5426431310,37.3877447416,0.0043167099
2015-04-01,198.8705693268,8428.6068798504,142.6472005913,37.4151692901,0.0043048421
2015-05-01,199.2147494218,8443.1940494152,141.9708374383,37.2377648842,0.0042769270
2015-06-01,199.3984487176,8450.9796617025,141.0666529776,37.0006048522,0.0042462625
2015-07-01,199.6028131543,8459.6411117273,139.9876614983,36.7175943992,0.0042077087
2015-08-01,199.7362909234,8465.2982164815,139.1486547735,36.4975299428,0.0041767015
2015-09-01,199.8949657175,8472.0232309745,138.1214371792,36.2280993474,0.0041393145
