id;ano;trim;empreendimento;unidades;pct_tecnisa;vgv_total_milhoes;vgv_tecnisa_milhoes;vgv_total_brl;vgv_tecnisa_brl;launch_avg_price_per_unit_brl;launch_avg_tecnisa_value_per_unit_brl
2013_1T13_JDP_Reserva_Manac_Fase_1;2013;1T13;JDP - Reserva Manacá (Fase 1);212.000000;0.711100;464.995000;330.657944;464995000.000000;330657944.500000;2193372.641509;1559707.285377
2013_1T13_JDP_Bosque_Jequitib_Fase_1;2013;1T13;JDP - Bosque Jequitibá (Fase 1);216.000000;0.711100;339.008000;241.068589;339008000.000000;241068588.800000;1569481.481481;1116058.281481
2013_2T13_JDP_Recanto_Jacarand;2013;2T13;JDP - Recanto Jacarandá;396.000000;0.711100;344.956000;245.298212;344956000.000000;245298211.600000;871101.010101;619439.928283
2013_2T13_JDP_Bosque_Jequitib_Fase_2;2013;2T13;JDP - Bosque Jequitibá (Fase 2);104.000000;0.711100;187.809000;133.550980;187809000.000000;133550979.900000;1805855.769231;1284144.037500
2013_2T13_JDP_Bosque_Arauc_ria_Fase_1;2013;2T13;JDP - Bosque Araucária (Fase 1);108.000000;0.711100;153.658000;109.266204;153658000.000000;109266203.800000;1422759.259259;1011724.109259
2013_3T13_JDP_Reserva_Manac_Fase_2;2013;3T13;JDP - Reserva Manacá (Fase 2);108.000000;0.711100;228.882000;162.757990;228882000.000000;162757990.200000;2119277.777778;1507018.427778
2013_3T13_JDP_Bosque_Arauc_ria_Fase_2;2013;3T13;JDP - Bosque Araucária (Fase 2);104.000000;0.711100;150.138000;106.763132;150138000.000000;106763131.800000;1443634.615385;1026568.575000
2014_2T14_JDP_Time_Residencial;2014;2T14;JDP - Time (Residencial);276.000000;0.750000;192.943075;144.707306;192943075.000000;144707306.250000;699069.112319;524301.834239
2014_2T14_JDP_Time_Office;2014;2T14;JDP - Time (Office);317.000000;0.750000;192.059165;144.044374;192059165.000000;144044373.750000;605864.873817;454398.655363
2016_3T16_JDP_Time_Mall;2016;3T16;JDP - Time (Mall);22.000000;0.575000;19.755488;11.359405;19755487.750000;11359405.456250;897976.715909;516336.611648
2016_4T16_JDP_Torre_Corporativa;2016;4T16;JDP - Torre Corporativa;76.000000;1.000000;211.000000;211.000000;211000000.000000;211000000.000000;2776315.789474;2776315.789474
2022_3T22_Bosque_Pitangueiras;2022;3T22;Bosque Pitangueiras;150.000000;0.575000;218.000000;125.350000;218000000.000000;125350000.000000;1453333.333333;835666.666667
2022_4T22_Reserva_Figueiras;2022;4T22;Reserva Figueiras;104.000000;0.575000;288.000000;165.600000;288000000.000000;165600000.000000;2769230.769231;1592307.692308
2024_1T24_Recanto_Oliveiras;2024;1T24;Recanto Oliveiras;424.000000;0.525000;583.000000;306.075000;583000000.000000;306075000.000000;1375000.000000;721875.000000
2024_2T24_Bosque_Cerejeiras;2024;2T24;Bosque Cerejeiras;100.000000;0.525000;445.000000;233.625000;445000000.000000;233625000.000000;4450000.000000;2336250.000000
2024_3T24_Reserva_Flamboyant;2024;3T24;Reserva Flamboyant;216.000000;0.525000;593.000000;311.325000;593000000.000000;311325000.000000;2745370.370370;1441319.444444
