data_base;segmento;produto;torre_bloco;nome_torre;n_torres_produto;unidades_produto;metragens_m2;data_lancamento;entrega_status;preco_lancamento_ou_proxy;preco_atual_observado;preco_atual_m2;valorizacao_indicativa;confianca;observacao
27/08/2026;Residencial;Recanto Jacarandá;Torre A;—;2;396;79–161;1T13 / 2T13;jul/2016;R$ 1.132.270 (80m²) / R$ 1.572.790 (108m²), publicado 09/2015;"R$ 1,365–2,100 mi; mediana da amostra R$ 1,918 mi";"R$ 17.176–18.981/m² nas plantas de 108m²; product median R$ 18.612/m²";+27,80% nominal / -27,07% real (proxy 108m²);"Baixa para torre; média para produto";"2 torres sem nome público confirmado; não atribuir preço da unidade à torre"
27/08/2026;Residencial;Recanto Jacarandá;Torre B;—;2;396;79–161;1T13 / 2T13;jul/2016;R$ 1.132.270 (80m²) / R$ 1.572.790 (108m²), publicado 09/2015;"R$ 1,365–2,100 mi; mediana da amostra R$ 1,918 mi";"R$ 17.176–18.981/m² nas plantas de 108m²; product median R$ 18.612/m²";+27,80% nominal / -27,07% real (proxy 108m²);"Baixa para torre; média para produto";"2 torres sem nome público confirmado; não atribuir preço da unidade à torre"
27/08/2026;Residencial;Bosque Araucária;Torre A — Tiê;Tiê;2;212;157–170;2T13;fev/2016;R$ 2.107.450 (158m²) / R$ 1.835.970 (170m²), publicado 09/2015;R$ 2,550 mi (157m²);R$ 16.242/m² na unidade observada;+21,77% nominal / -30,51% real (proxy 158m²);"Média para produto; baixa para torre";"Preço atual sem identificação da torre; 157,65m² na ficha técnica"
27/08/2026;Residencial;Bosque Araucária;Torre B — Tucano;Tucano;2;212;157–170;2T13;fev/2016;R$ 2.107.450 (158m²) / R$ 1.835.970 (170m²), publicado 09/2015;R$ 2,550 mi (157m²);R$ 16.242/m² na unidade observada;+21,77% nominal / -30,51% real (proxy 158m²);"Média para produto; baixa para torre";"Preço atual sem identificação da torre; 157,65m² na ficha técnica"
27/08/2026;Residencial;Bosque Jequitibá;Torre A — Canário;Canário;3;320;159–331;1T13 / 2T13;out/2015;R$ 2.119.870 (158m²) / R$ 2.650.880 (201m²), publicado 09/2015;"R$ 2,970–4,197 mi; mediana da amostra R$ 3,090 mi";"R$ 17.343–20.000/m²; product median R$ 18.774/m²";+39,92% nominal / -20,15% real (proxy 158m²);"Média para produto; baixa para torre";"Preço atual sem identificação da torre; mix inclui 159–331m²"
27/08/2026;Residencial;Bosque Jequitibá;Torre B — Bem-te-vi;Bem-te-vi;3;320;159–331;1T13 / 2T13;out/2015;R$ 2.119.870 (158m²) / R$ 2.650.880 (201m²), publicado 09/2015;"R$ 2,970–4,197 mi; mediana da amostra R$ 3,090 mi";"R$ 17.343–20.000/m²; product median R$ 18.774/m²";+39,92% nominal / -20,15% real (proxy 158m²);"Média para produto; baixa para torre";"Preço atual sem identificação da torre; mix inclui 159–331m²"
27/08/2026;Residencial;Bosque Jequitibá;Torre C — Beija-flor;Beija-flor;3;320;159–331;1T13 / 2T13;out/2015;R$ 2.119.870 (158m²) / R$ 2.650.880 (201m²), publicado 09/2015;"R$ 2,970–4,197 mi; mediana da amostra R$ 3,090 mi";"R$ 17.343–20.000/m²; product median R$ 18.774/m²";+39,92% nominal / -20,15% real (proxy 158m²);"Média para produto; baixa para torre";"Preço atual sem identificação da torre; mix inclui 159–331m²"
27/08/2026;Residencial;Reserva Manacá;Torre A — Andorinha/Sabiá;"Andorinha; Sabiá";3;320;"241–283; duplex 415–496";1T13 / 3T13;abr/2016;R$ 2.817.700 (242m²) / R$ 3.113.080 (283m²), publicado 09/2015;"R$ 5,350–6,000 mi (283m²); cobertura R$ 11,000 mi";"R$ 18.905–21.201/m² (283m²); cobertura ~R$ 26.066/m²";+92,74% nominal / +9,99% real (proxy 283m²);"Média para produto; baixa para torre";"6 blocos em 3 torres; unidade atual não informa bloco/torre"
27/08/2026;Residencial;Reserva Manacá;Torre B — Arara/Cacatua;"Arara; Cacatua";3;320;"241–283; duplex 415–496";1T13 / 3T13;abr/2016;R$ 2.817.700 (242m²) / R$ 3.113.080 (283m²), publicado 09/2015;"R$ 5,350–6,000 mi (283m²); cobertura R$ 11,000 mi";"R$ 18.905–21.201/m² (283m²); cobertura ~R$ 26.066/m²";+92,74% nominal / +9,99% real (proxy 283m²);"Média para produto; baixa para torre";"6 blocos em 3 torres; unidade atual não informa bloco/torre"
27/08/2026;Residencial;Reserva Manacá;Torre C — Falcão/Jacutinga;"Falcão; Jacutinga";3;320;"241–283; duplex 415–496";1T13 / 3T13;abr/2016;R$ 2.817.700 (242m²) / R$ 3.113.080 (283m²), publicado 09/2015;"R$ 5,350–6,000 mi (283m²); cobertura R$ 11,000 mi";"R$ 18.905–21.201/m² (283m²); cobertura ~R$ 26.066/m²";+92,74% nominal / +9,99% real (proxy 283m²);"Média para produto; baixa para torre";"6 blocos em 3 torres; unidade atual não informa bloco/torre"
27/08/2026;Residencial;TIME Life;Torre única — nome não identificado;—;1;276;57–83;2T14 (RI) / mai/2015 (lançamento comercial);mai/2017;R$ 752.760 (60m²) / R$ 971.440 (83m²), publicado 09/2015;R$ 1,100 mi (63m²);R$ 17.460/m² na unidade observada;+39,17% nominal / -20,58% real (proxy 60m²);"Média para produto; média para torre";Duas datas de lançamento: RI 2T14 e Apto maio/2015
27/08/2026;Residencial;Bosque Pitangueiras;Torre única — nome não identificado;—;1;150;"79; 97/98; 136";3T22;dez/2026;"Não localizado em fonte pública consultada; VGV médio implícito R$ 1.453.333/unidade";"R$ 1,300–2,550 mi; mediana da amostra R$ 2,010 mi";"R$ 16.176–22.152/m²; outlier 151m² exige validação";Não calculável com rigor: preço histórico por planta não localizado;"Baixa para valorização; média para torre/produto";"Tecnisa indica 100% vendido; estoque atual tende a ser repasse"
27/08/2026;Residencial;Reserva Figueiras;Subcondomínio Torre A;Torre A;1;104;165 e 188;4T22 (RI) / fev/2023 (lançamento comercial);out/2026;"Não localizado em fonte pública consultada; VGV médio implícito R$ 2.769.231/unidade";"R$ 3,200–3,690 mi; mediana R$ 3,445 mi";R$ 19.394–19.628/m²;Não calculável com rigor: preço histórico por planta não localizado;"Média para produto; alta para torre";"Apto informa 1 torre; Tecnisa identifica Subcondomínio Torre A"
27/08/2026;Residencial;Recanto Oliveiras;Torre 1 — nome não identificado;—;2;424;81 e 109;1T24;ago/2027;"Não localizado em fonte pública consultada; VGV médio implícito R$ 1.375.000/unidade";R$ 1,302 mi (81m²) a R$ 1,692 mi (109m²);R$ 16.079/m² (81m²) a R$ 15.523/m² (109m²);Não calculável com rigor: preço histórico por planta não localizado;"Baixa para valorização; média para torre/produto";NPi informa Torre 1 com 27 pavimentos
27/08/2026;Residencial;Recanto Oliveiras;Torre 2 — nome não identificado;—;2;424;81 e 109;1T24;ago/2027;"Não localizado em fonte pública consultada; VGV médio implícito R$ 1.375.000/unidade";R$ 1,302 mi (81m²) a R$ 1,692 mi (109m²);R$ 16.079/m² (81m²) a R$ 15.523/m² (109m²);Não calculável com rigor: preço histórico por planta não localizado;"Baixa para valorização; média para torre/produto";NPi informa Torre 2 com 26 pavimentos
27/08/2026;Residencial;Bosque Cerejeiras;Torre única — Subcondomínio Torre 2/Bosque 2;Torre 2 / Bosque 2;1;100;"221,64/222 e 293; duplex 436/569";2T24;out/2027;"Não localizado em fonte pública consultada; VGV médio implícito R$ 4.450.000/unidade";R$ 3,430 mi (222m², preço à vista a partir);R$ 15.450/m²;Não calculável com rigor: preço histórico por planta não localizado;"Baixa para valorização; alta para torre";"Preço atual de estoque em obra; mix inclui duplex e plantas maiores"
27/08/2026;Residencial;Reserva Flamboyant;Torre única — nome não identificado;—;1;216;"157–189; algumas páginas citam até 377";3T24;Não confirmado nas fontes consultadas;"Não localizado em fonte pública consultada; VGV médio implícito R$ 2.745.370/unidade";R$ 2,555 mi (157m²);R$ 16.274/m²;Não calculável com rigor: preço histórico por planta não localizado;"Baixa para valorização; média para torre";"Abramark confirma torre única/38 andares; data de entrega deve ser confirmada"
27/08/2026;Comercial;TIME Office;Torre comercial — nome não identificado;—;não segregado;317;não informado;2T14;não informado;"Preço médio implícito VGV R$ 605.865/unidade; tabela por sala não localizada";Não coletado como residencial;Não aplicável à comparação residencial;Não aplicável;"Alta para inventário RI; baixa para preço atual";Produto comercial, não misturar com apartamentos
27/08/2026;Comercial;TIME Mall;Mall — nome não identificado;—;não segregado;22;não informado;3T16;não informado;"Preço médio implícito VGV R$ 897.977/unidade; tabela por unidade não localizada";Não coletado como residencial;Não aplicável à comparação residencial;Não aplicável;"Alta para inventário RI; baixa para preço atual";Produto comercial, não misturar com apartamentos
27/08/2026;Comercial;Torre Corporativa;Torre corporativa — nome não identificado;—;não segregado;76;não informado;4T16;não informado;"Preço médio implícito VGV R$ 2.776.316/unidade; tabela por sala não localizada";Não coletado como residencial;Não aplicável à comparação residencial;Não aplicável;"Alta para inventário RI; baixa para preço atual";Produto comercial, não misturar com apartamentos
