family;date_2015;area_m2;price_2015_brl;source_2015;price_2015_per_m2
Bosque Araucária;2015-09-11;158;2107450;Folha 2015;13338.291139
Bosque Araucária;2015-09-11;170;1835970;Folha 2015;10799.823529
Bosque Jequitibá;2015-09-11;158;2119870;Folha 2015;13416.898734
Bosque Jequitibá;2015-09-11;201;2650880;Folha 2015;13188.457711
Recanto Jacarandá;2015-09-11;80;1132270;Folha 2015;14153.375000
Recanto Jacarandá;2015-09-11;108;1572790;Folha 2015;14562.870370
Reserva Manacá;2015-09-11;242;2817700;Folha 2015;11643.388430
Reserva Manacá;2015-09-11;283;3113080;Folha 2015;11000.282686
Time (Residencial);2015-09-11;60;752760;Folha 2015;12546.000000
Time (Residencial);2015-09-11;83;971440;Folha 2015;11704.096386
